product,price,primary_image_url,all_image_urls
"""BASEBALL"" DESIGN APPAREL",$27.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A4-77a2597.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A4-77a2597.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A7-f08d803.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A6-f217967.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A5-8158899.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A4-2a28a7d.png
"""GLITTER"" CHEER GEAR",$29.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL-ea20a0b.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL-ea20a0b.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL2-db133e8.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL1-e2c2655.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL2-710cf85.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL2-68dbdf0.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/B-0450c8e.png
"""MOM"" SPORT SPECIFIC DESIGN",$27.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A21-7a7ae26.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A21-7a7ae26.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL-2bb801c.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL2-7787662.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL1-22a67e9.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/B-706a3b0.png
"""PLATE"" DESIGN APPAREL",$27.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A4-0facad3.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A4-0facad3.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A8-030d4d9.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A6-883badb.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A7-c31e058.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A5-030d4d9.png
"""PROUD EAGLE"" SPIRIT DESIGN",$24.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A2-f1e0be2.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A2-f1e0be2.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A3-bf54604.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A4-78a768d.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A12-13f9afb.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A2-f1e0be2.png
"""R EAGLES SPIRIT APPAREL",$27.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A2-06e5271.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A2-06e5271.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A3-913f0d9.png
"""SERVE"" APPAREL",$27.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A9-39e4ee1.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A9-39e4ee1.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A12%20-%20Copy%20-%20Copy-4c25b17.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A11-fa9abb0.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A12%20-%20Copy%20-%20Copy%20-%20Copy-b09afef.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A12%20-%20Copy%20(2)%20-%20Copy-e02451d.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A10-2f85a0b.png
"""SPORT SPECIFIC BALL"" DESIGN",$24.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/D.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/D.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL2.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL1.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL.png
"""THE RIDGE"" SPIRIT APPAREL",$24.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BC-%20KARENA%20KOPF.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BC-%20KARENA%20KOPF.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BC-PRESTON%20NAEGELI.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BC-KATHY%20FALKNER.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/C-473981e.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/A10-21d1bf7.png
"""UNDERLINED EAGLES"" SPIRIT APPAREL",$27.95,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BB%20-%20Copy-ed23945.png,https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BB%20-%20Copy-ed23945.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL2%20-%20Copy-414f862.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BC%20PROPOSAL-d3b1b40.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/BB-2b2d131.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL1-45f7c48.png | https://img1.wsimg.com/isteam/ip/26553ac1-dddf-4707-9a36-819438d1743f/ARL2-730adc6.png
